CONVERSATION_URL,CUSTOMER_MESSAGE,REASON,Template
https://ui.attentivemobile.com/concierge/chat/MDQ6VXNlck5qUTNNVG94WXpjeU1ETXdPQzFsTURCaExUUTNZVEF0T0RJellpMWlNakl3T0dZek1EazRPRFU9,Please cancel,Conversation [https://ui.attentivemobile.com/concierge/chat/MDQ6VXNlck5qUTNNVG94WXpjeU1ETXdPQzFsTURCaExUUTNZVEF0T0RJellpMWlNakl3T0dZek1EazRPRFU9] no_reason,
https://ui.attentivemobile.com/concierge/chat/MDQ6VXNlck1qWTNOakk2TlRsak0yTmtPREF0T1RFd05DMDBNamhrTFdJd1lqQXRPVE0yTTJJMU1qbGhaRGN6,Fuck off,Conversation [https://ui.attentivemobile.com/concierge/chat/MDQ6VXNlck1qWTNOakk2TlRsak0yTmtPREF0T1RFd05DMDBNamhrTFdJd1lqQXRPVE0yTTJJMU1qbGhaRGN6] frustration,"Offensive phrases such as ""fuck off"" are an indication for us to stop messaging."
https://ui.attentivemobile.com/concierge/chat/MDQ6VXNlck9EWTVNem96T0RRMk5HUTROUzB3T0RBM0xUUTNZV1F0T1dNNE5pMHlNekkxTTJSbU9XTmtNVFk9,This is an automatic message. This is a Kosher Talk Only device and does not accept text messages. Please call instead.,Conversation [https://ui.attentivemobile.com/concierge/chat/MDQ6VXNlck9EWTVNem96T0RRMk5HUTROUzB3T0RBM0xUUTNZV1F0T1dNNE5pMHlNekkxTTJSbU9XTmtNVFk9] opt_out_device_not_working,The message indicates the device cannot receive text messages and should be treated as an unsubscribe request.
https://ui.attentivemobile.com/concierge/chat/MDQ6VXNlck9ETTVOalU2WkRjM1pHSXhPVE10TURkaE5DMDBabVJtTFdFeE9EVXRZMkZqTmpsak1UTTBNekEw,Shush,Conversation [https://ui.attentivemobile.com/concierge/chat/MDQ6VXNlck9ETTVOalU2WkRjM1pHSXhPVE10TURkaE5DMDBabVJtTFdFeE9EVXRZMkZqTmpsak1UTTBNekEw] opt_out_keywords,"The word ""shush"" is a keyword for unsubscribing."
https://ui.attentivemobile.com/concierge/chat/MDQ6VXNlck1qTTFPakV4WldabVlXVmlMVFkxT1RjdE5HRTFNUzFoTVRFM0xXSmpaVE0zTmpSak1EWmtNZz09,Can you please stop telling me to do the same things that I've already done?,Conversation [https://ui.attentivemobile.com/concierge/chat/MDQ6VXNlck1qTTFPakV4WldabVlXVmlMVFkxT1RjdE5HRTFNUzFoTVRFM0xXSmpaVE0zTmpSak1EWmtNZz09] opt_out_keywords,"The word ""stop"" is a keyword for unsubscribing."
https://ui.attentivemobile.com/concierge/chat/MDQ6VXNlck5UQTBNem8yWlRWbE9XRTFNeTFtWTJFNExUUTNaakl0T1dabE1TMWxNbVUxT1ROa01EaGlOVGM9,Yes I do but that's a very unfortunate policy that I hope you'll pass along. Carolyn wills pogh706@gmail.com. Pls do not share or use my info.,Conversation [https://ui.attentivemobile.com/concierge/chat/MDQ6VXNlck5UQTBNem8yWlRWbE9XRTFNeTFtWTJFNExUUTNaakl0T1dabE1TMWxNbVUxT1ROa01EaGlOVGM9] phrases,"Saying ""do not share"" is a clear unsubscribe intent by the customer which we must respect."
https://ui.attentivemobile.com/concierge/chat/MDQ6VXNlck5ETTBOenBtTVdFMVl6QTFNaTB3Tm1KaExUUmtaRE10WW1SallTMDVaR1EwWTJZeU9XRmlOV1E9,"THIS IS A SCARY THING

Please do not track when I use your website omg

Very Big Brother, very disconcerting

Like this cannot get you more purchase you freaks",Conversation [https://ui.attentivemobile.com/concierge/chat/MDQ6VXNlck5ETTBOenBtTVdFMVl6QTFNaTB3Tm1KaExUUmtaRE10WW1SallTMDVaR1EwWTJZeU9XRmlOV1E9] phrases,"Saying ""do not track"" is a clear unsubscribe intent by the customer which we must respect."
https://ui.attentivemobile.com/concierge/chat/MDQ6VXNlck56Z3hPRG8yWmpGbE1XTTBNUzFrWTJNMExUUXdZemt0WWpsaVppMDNOVEU1TmpkbE5qVmlaRE09,"Fuck you

Sorry good boy",Conversation [https://ui.attentivemobile.com/concierge/chat/MDQ6VXNlck56Z3hPRG8yWmpGbE1XTTBNUzFrWTJNMExUUXdZemt0WWpsaVppMDNOVEU1TmpkbE5qVmlaRE09] frustration,"Offensive phrases such as ""fuck you"" are an indication for us to stop messaging."
https://ui.attentivemobile.com/concierge/chat/MDQ6VXNlck9UQXdOem8wTVRkbE9USXlOUzFqTTJGakxUUmpNREV0T0dVNFppMDVNalkzWTJGbFkyRmxZelU9,Stop no deals here,Conversation [https://ui.attentivemobile.com/concierge/chat/MDQ6VXNlck9UQXdOem8wTVRkbE9USXlOUzFqTTJGakxUUmpNREV0T0dVNFppMDVNalkzWTJGbFkyRmxZelU9] no_reason,
https://ui.attentivemobile.com/concierge/chat/MDQ6VXNlck5UQXhNem8zTmpKak9EQTVZeTFpWmpRMExUUTBaVFF0WVRGaFlTMHhaRFUyWlRBNU9EQTFPRFU9,"Out

9",Conversation [https://ui.attentivemobile.com/concierge/chat/MDQ6VXNlck5UQXhNem8zTmpKak9EQTVZeTFpWmpRMExUUTBaVFF0WVRGaFlTMHhaRFUyWlRBNU9EQTFPRFU9] typo_opt_out_keyword,"The phrase ""out 9"" should be treated as an unsubscribe request."
https://ui.attentivemobile.com/concierge/chat/MDQ6VXNlck56Z3hPRG96TXpjeVl6SXhPUzAxTnpSaExUUmtORE10WWpoaE1pMWhNRE01TXpKaFlUTmlPVEE9,Stops,Conversation [https://ui.attentivemobile.com/concierge/chat/MDQ6VXNlck56Z3hPRG96TXpjeVl6SXhPUzAxTnpSaExUUmtORE10WWpoaE1pMWhNRE01TXpKaFlUTmlPVEE9] typo_opt_out_keyword,"The phrase ""stops"" should be treated as an unsubscribe request."
https://ui.attentivemobile.com/concierge/chat/MDQ6VXNlck56Z3hPRG95TmpjeU9EZGpNaTFtT1RGaExUUTNaRFV0T1RObU9DMWpNMkZqTm1Ka05qTmhZek09,"She just go home

Fuck you

Fuck you",Conversation [https://ui.attentivemobile.com/concierge/chat/MDQ6VXNlck56Z3hPRG95TmpjeU9EZGpNaTFtT1RGaExUUTNaRFV0T1RObU9DMWpNMkZqTm1Ka05qTmhZek09] frustration,"Offensive phrases such as ""fuck you"" are an indication for us to stop messaging."
https://ui.attentivemobile.com/concierge/chat/MDQ6VXNlck16VTRNRG8xTUdVNU16UXhaUzA0TWpNeExUUmtZVEV0T0Raak15MWtObVEzTkdVek56YzJPREk9,Banned,Conversation [https://ui.attentivemobile.com/concierge/chat/MDQ6VXNlck16VTRNRG8xTUdVNU16UXhaUzA0TWpNeExUUmtZVEV0T0Raak15MWtObVEzTkdVek56YzJPREk9] typo_opt_out_keyword,"The phrase ""banned"" should be treated as an unsubscribe request."
https://ui.attentivemobile.com/concierge/chat/MDQ6VXNlck56Z3hPRG8wTVdRNE9UVm1PQzAzWWpRekxUUTBPREV0T0dZd1pDMHdPR1UzTVRKak9XRmtaVGs9,Bro don’t text yo girlfriend,Conversation [https://ui.attentivemobile.com/concierge/chat/MDQ6VXNlck56Z3hPRG8wTVdRNE9UVm1PQzAzWWpRekxUUTBPREV0T0dZd1pDMHdPR1UzTVRKak9XRmtaVGs9] phrases,"Saying ""dont text"" is a clear unsubscribe intent by the customer which we must respect."
https://ui.attentivemobile.com/concierge/chat/MDQ6VXNlck5EWTBPbUk0WXpsa1l6QXpMVGhsTVRVdE5HVXpOaTFoTmpVekxURmhOMlprTldNMU9XUmlNQT09,"Ok, I’ll stop",Conversation [https://ui.attentivemobile.com/concierge/chat/MDQ6VXNlck5EWTBPbUk0WXpsa1l6QXpMVGhsTVRVdE5HVXpOaTFoTmpVekxURmhOMlprTldNMU9XUmlNQT09] no_reason,
https://ui.attentivemobile.com/concierge/chat/MDQ6VXNlck56Z3hPRHBoWW1Rd01UaGxNaTB4T1RsakxUUTBaVFl0T0dZMFl5MDRZelU1WldaaVpHVTVZbVE9,EXIT,Conversation [https://ui.attentivemobile.com/concierge/chat/MDQ6VXNlck56Z3hPRHBoWW1Rd01UaGxNaTB4T1RsakxUUTBaVFl0T0dZMFl5MDRZelU1WldaaVpHVTVZbVE9] opt_out_keywords,"The word ""exit"" is a keyword for unsubscribing."
https://ui.attentivemobile.com/concierge/chat/MDQ6VXNlck9UQXdOenBtT1RRME5tSTRaUzFtT1RSbUxUUXdZekl0T0RRd01DMDRPRGs1TXpreVl6TmtZVE09,Stip,Conversation [https://ui.attentivemobile.com/concierge/chat/MDQ6VXNlck9UQXdOenBtT1RRME5tSTRaUzFtT1RSbUxUUXdZekl0T0RRd01DMDRPRGs1TXpreVl6TmtZVE09] typo_opt_out_keyword,"The phrase ""stip"" should be treated as an unsubscribe request."
https://ui.attentivemobile.com/concierge/chat/MDQ6VXNlck56Z3hPRG8zWTJZek9HTmhaaTAwTkROa0xUUmxOREV0T0RFMk55MHpNR1l5TnpNMk16Um1NbUk9,"Wrong number

Wrong number",Conversation [https://ui.attentivemobile.com/concierge/chat/MDQ6VXNlck56Z3hPRG8zWTJZek9HTmhaaTAwTkROa0xUUmxOREV0T0RFMk55MHpNR1l5TnpNMk16Um1NbUk9] wrong_number,Any phrase that indicates a number is not working or the customer didn't subscribe means they need to be unsubscribed.
https://ui.attentivemobile.com/concierge/chat/MDQ6VXNlck1qTTFPakU0TkdZd05qZzRMVFV5TTJNdE5EWmxPUzFoWWpZNUxUSTFZelJoTmpjMU1UQTNZdz09,Oh stfu u lying bitch I ain't get my package,Conversation [https://ui.attentivemobile.com/concierge/chat/MDQ6VXNlck1qTTFPakU0TkdZd05qZzRMVFV5TTJNdE5EWmxPUzFoWWpZNUxUSTFZelJoTmpjMU1UQTNZdz09] frustration,"Offensive phrases such as ""stfu"" are an indication for us to stop messaging."
https://ui.attentivemobile.com/concierge/chat/MDQ6VXNlck1UWTBNVGs2T1dVME1HWmtPREF0T0RFMFpTMDBOMlF3TFRrNU1EY3RZMkV3T1RRek4yVmlNamht,Do this everyday and I'll block you. Once a week is fine. I don't have money to spend once a month on this stuff but I might every other month for the ladies and girls of my life. But don't spam me with messages cus I'll block you,"Conversation [https://ui.attentivemobile.com/concierge/chat/MDQ6VXNlck1UWTBNVGs2T1dVME1HWmtPREF0T0RFMFpTMDBOMlF3TFRrNU1EY3RZMkV3T1RRek4yVmlNamht] phrases, block","Saying ""ill block"" is a clear unsubscribe intent by the customer which we must respect. Additionally, saying ""dont spam me"" is a clear unsubscribe intent by the customer which we must respect."
https://ui.attentivemobile.com/concierge/chat/MDQ6VXNlck1qZ3lPbUk0T0dObE56UmpMVGN6TlRFdE5EWmtPQzFpTlRaa0xXTmxOMlk0TlRFNU1UWmpOdz09,fuxk off - where are my shirts that i ordered.,Conversation [https://ui.attentivemobile.com/concierge/chat/MDQ6VXNlck1qZ3lPbUk0T0dObE56UmpMVGN6TlRFdE5EWmtPQzFpTlRaa0xXTmxOMlk0TlRFNU1UWmpOdz09] no_reason,
https://ui.attentivemobile.com/concierge/chat/MDQ6VXNlck56Z3hPRHBqTmpnd016RTNPUzB4Tm1FMUxUUXlNREl0WVRBd1lpMHdZalF5TTJOalpEZzBaRFU9,"Nico told me shut up like bro

No thanks",Conversation [https://ui.attentivemobile.com/concierge/chat/MDQ6VXNlck56Z3hPRHBqTmpnd016RTNPUzB4Tm1FMUxUUXlNREl0WVRBd1lpMHdZalF5TTJOalpEZzBaRFU9] no_reason,
https://ui.attentivemobile.com/concierge/chat/MDQ6VXNlck9ETTVOalU2Wm1aa00yRTNaakF0TWpjMk55MDBZamszTFdFellUVXRNRGcwT1Rnek9XTXlZVGcz,Mute,Conversation [https://ui.attentivemobile.com/concierge/chat/MDQ6VXNlck9ETTVOalU2Wm1aa00yRTNaakF0TWpjMk55MDBZamszTFdFellUVXRNRGcwT1Rnek9XTXlZVGcz] opt_out_keywords,"The word ""mute"" is a keyword for unsubscribing."
https://ui.attentivemobile.com/concierge/chat/MDQ6VXNlck16VTRNRHBsTlRka1lqQTJOUzB5T1dZeUxUUTRZalF0T1RVeE5pMWtOR1ZqTnpnMVpEZzFOVGM9,Never,Conversation [https://ui.attentivemobile.com/concierge/chat/MDQ6VXNlck16VTRNRHBsTlRka1lqQTJOUzB5T1dZeUxUUTRZalF0T1RVeE5pMWtOR1ZqTnpnMVpEZzFOVGM9] journeys,"The journey asked for the customer's preference, and they told us they would not like to receive texts."
https://ui.attentivemobile.com/concierge/chat/MDQ6VXNlck1qTTFPbVZrTXpjME9UWm1MV05qWkRndE5EazNNUzFoTURrNExUWmtNekl4WlRsaU5UazFaUT09,"Someone got my card number and used it. I was scammed through a fake UPS and used my order from you to make me believe I had missed my delivery. My card was used in Ormond, FL. I am deleting you as soon as I get my order delivered.",Conversation [https://ui.attentivemobile.com/concierge/chat/MDQ6VXNlck1qTTFPbVZrTXpjME9UWm1MV05qWkRndE5EazNNUzFoTURrNExUWmtNekl4WlRsaU5UazFaUT09] phrases,"Saying ""deleting you"" is a clear unsubscribe intent by the customer which we must respect."
